ESTADO,CIDADE,ZONA,SECAO,LOCAL,ENDERECO,BAIRRO,CEP
RJ,RIO DE JANEIRO,1,71,ESCOLA MUNICIPAL FRANCISCO BENJAMIN GALLOTTI,RUA DA AMÉRICA 81,SANTO CRISTO,20220590
RJ,RIO DE JANEIRO,3,79,INSTITUTO BRASILEIRO DE MEDICINA DE REABILITAÇÃO - IBMR,"PRAIA DE BOTAFOGO, 158",BOTAFOGO,22250145
RJ,RIO DE JANEIRO,3,144,IGREJA SANTISSIMA TRINDADE,"RUA SENADOR VERGUEIRO, 142 OU RUA SENADOR EUZEBIO, 35",FLAMENGO,22250080
RJ,RIO DE JANEIRO,4,134,CIEP - HUMAITA,RUA HUMAITA S/N,HUMAITA,22261001
RJ,RIO DE JANEIRO,5,75,ESCOLA MUNICIPAL ROMA,PRAÇA BERNARDELLI (LIDO) S/N,COPACABANA,22020030
RJ,RIO DE JANEIRO,6,55,CASA DOS AÇORES,AV. MELO MATOS 25,TIJUCA,20270290
RJ,RIO DE JANEIRO,6,252,COLÉGIO ESTADUAL ORSINA DA FONSECA,RUA SÃO FRANCISCO XAVIER 95,TIJUCA,20550010
RJ,RIO DE JANEIRO,7,152,CAIXA ECONÔMICA FEDERAL (PRAÇA),RUA CONDE DE BONFIM 302 A,TIJUCA,20520054
RJ,RIO DE JANEIRO,7,189,ESCOLA MUNICIPAL BARÃO DE ITACURUSSÁ,RUA ANDRADE NEVES 481,TIJUCA,20510230
RJ,RIO DE JANEIRO,8,41,SENAI,RUA DR. MANOEL COTRIM 195,JACARÉ,20961040
RJ,RIO DE JANEIRO,8,73,COLÉGIO ROSA DE SARON,"RUA LINO TEIXEIRA, N 264, UNIDADE II",RIACHUELO,20970007
RJ,RIO DE JANEIRO,9,251,ESCOLA MUNICIPAL PEROLA BYINGTON,RUA LUCIANO GALLET S/N,VARGEM GRANDE,22785110
RJ,RIO DE JANEIRO,9,276,MV1 TOTAL - CENTRO EDUCACIONAL DAS AMÉRICAS,"AV. DAS AMÉRICAS, 17.001",RECREIO,22790570
RJ,RIO DE JANEIRO,9,298,ESCOLA MUNICIPAL MARGARIDA GLÓRIA DE FARIA,AV. PROF. FAUSTO MOREIRA 250 - BARRA SUL,BARRA,22793340
RJ,RIO DE JANEIRO,9,307,ESCOLA MUNICIPAL DESEMBARGADOR NEY PALMEIRO,"R IGARAPÉ-AÇU, 340",CAMORIM,22783140
RJ,RIO DE JANEIRO,9,324,ESCOLA MUNICIPAL FREDERICO TROTTA,AV. FAUSTO MOREIRA S/N BARRA SUL,BARRA,22793340
RJ,RIO DE JANEIRO,10,79,ESCOLA MUNICIPAL FELIX PACHECO,RUA ASSIS CARNEIRO 649,PIEDADE,20740260
RJ,RIO DE JANEIRO,10,215,1A IGREJA BATISTA DA PIEDADE,RUA ASSIS CARNEIRO 520,PIEDADE,20740380
RJ,RIO DE JANEIRO,11,153,ESCOLA MUNICIPAL ANÍBAL FREIRE,RUA PROFESSOR PLÍNIO BASTOS 631,OLARIA,21021350
RJ,RIO DE JANEIRO,11,213,ESCOLA MUNICIPAL CONDE DE AGROLONGO,RUA CONDE DE AGROLONGO 1246,PENHA,21020190
RJ,RIO DE JANEIRO,12,482,GREMIO RECREATIVO ESCOLA DE SAMBA IMPERIO SERRANO,AV. MINISTRO EDGARD ROMERO 114 MADUREIRA,MADUREIRA,21350301
RJ,RIO DE JANEIRO,12,487,GREMIO RECREATIVO ESCOLA DE SAMBA PORTELA,"RUA CLARA NUNES, 81",MADUREIRA,21351110
RJ,RIO DE JANEIRO,12,507,GREMIO RECREATIVO ESCOLA DE SAMBA PORTELINHA,"ESTRADA DO PORTELA, 446",MADUREIRA,21351246
RJ,RIO DE JANEIRO,13,158,SANTA MONICA CENTRO EDUCACIONAL,AV GEMINIANO GOIS 331,FREGUESIA JPA,22743670
RJ,RIO DE JANEIRO,13,968,ESCOLA MUNICIPAL 25 DE ABRIL,RUA MAMORE 78,FREGUESIA JPA,22760080
RJ,RIO DE JANEIRO,14,91,ESCOLA MUNICIPAL BOLIVAR,RUA JOSE DOS REIS 466,ENGENHO DE DENTRO,20756116
RJ,RIO DE JANEIRO,16,53,ESCOLA ALBERT SCHWEITZER,RUA GENERAL GLICÉRIO 186,LARANJEIRAS,22245120
RJ,RIO DE JANEIRO,17,127,CIEP NAÇÃO RUBRONEGRA,PRAÇA NOSSA SENHORA AUXILIADORA S/N,LEBLON,22441050
RJ,RIO DE JANEIRO,17,272,ESCOLA MUNICIPAL SERGIO VIEIRA DE MELLO,PRACA NOSSA SENHORA AUXILIADORA S/N,LEBLON,22441050
RJ,RIO DE JANEIRO,18,53,BANCO DO BRASIL,"AVENIDA NOSSA SENHORA DE COPACABANA, 890",COPACABANA,22060002
RJ,RIO DE JANEIRO,19,223,ESCOLA MUNICIPAL EQUADOR,AVENIDA VINTE E OITO DE SETEMBRO 351,VILA ISABEL,20551030
RJ,RIO DE JANEIRO,20,51,IGREJA DA IMACULADA CONCEICAO E SAO SEBASTIAO,RUA CATULO CEARENSE 23,ENGENHO DE DENTRO,20730320
RJ,RIO DE JANEIRO,20,342,CENTRO DE ENSINO E CULTURA CRIATIVO CHAVE DO SABER,"RUA DR. BULHOES, 902",ENGENHO DE DENTRO,20730420
RJ,RIO DE JANEIRO,21,471,INSTITUTO PIO XI,RUA ROBERTO SILVA 71,RAMOS,21060230
RJ,RIO DE JANEIRO,22,568,ESCOLA MUNICIPAL MENDES VIANA,ESTRADA DO COLEGIO 940,COLÉGIO,21235280
RJ,RIO DE JANEIRO,23,144,ESCOLA MUNICIPAL PROFESSORA JURACY SILVEIRA,RUA PASTOR JOSE RAMALHO 98,DEODORO,21670200
RJ,RIO DE JANEIRO,23,369,GUADALUPE COUNTRY CLUB,AV. BRASIL 23304,GUADALUPE,21660000
RJ,RIO DE JANEIRO,24,45,COLÉGIO ESTADUAL JOÃO SALIM MIGUEL,RUA DA CHITA 419,BANGU,21862170
RJ,RIO DE JANEIRO,24,510,ESCOLA RUBEM BERTA,RUA DO MAGISTRADO S/N - VILA ALIANÇA,BANGU,21842420
RJ,RIO DE JANEIRO,25,484,ESCOLA MUNICIPAL PROF. CARMO REIS NETO ( LOC. PROVISORIO NAIR FONSECA),RUA BURITIZAL S/N,SEPETIBA,23545100
RJ,RIO DE JANEIRO,25,489,ESCOLA MUNICIPAL PROF. CARMO REIS NETO ( LOC. PROVISORIO NAIR FONSECA),RUA BURITIZAL S/N,SEPETIBA,23545100
RJ,RIO DE JANEIRO,25,495,ESCOLA MUNICIPAL NELSON ROMERO,RUA JOSE BALDINO S/N,SEPETIBA,23540044
RJ,RIO DE JANEIRO,25,977,ESCOLA MUNICIPAL ENGENHEIRO GASTÃO RANGEL,"ESTRADA DO MAGARÇA, 9183",GUARATIBA,23031204
RJ,RIO DE JANEIRO,117,20,COLEGIO ESTADUAL PROFESSORA MARIA DE LOURDES DE OLIVEIRA LAVÔR,RUA SARGENTO JOAO LOPES 315,CACUIA,21931420
RJ,RIO DE JANEIRO,118,353,ESCOLA MUNICIPAL SERGIPE,"RUA ITAPUA, 581",VICENTE DE CARVALHO,21370560
RJ,RIO DE JANEIRO,118,379,CENTRO DE SAUDE HERCULANO PINHEIRO,AV. MINISTRO EDGARD ROMERO 276,MADUREIRA,21360200
RJ,RIO DE JANEIRO,119,26,COLÉGIO ANGLO AMERICANO,"RUA HERÁCLITO DA GRAÇA ARANHA, 234, CONDOMÍNIO NOVA IPANEMA",BARRA,22631400
RJ,RIO DE JANEIRO,119,163,MARINA BARRA CLUBE,"ESTRADA DA BARRA DA TIJUCA, 777",ITANHANGÁ,22611201
RJ,RIO DE JANEIRO,119,216,COLÉGIO VEIGA DE ALMEIDA,"AV GENERAL FELICÍSSIMO CARDOSO, 500",BARRA,22631360
RJ,RIO DE JANEIRO,120,229,CIEP BRIGADEIRO SERGIO CARVALHO,ESTRADA LAMEIRAO PEQUENO S/N,CAMPO GRANDE,23017340
RJ,RIO DE JANEIRO,121,321,GRÊMIO RECREATIVO CACIQUE DE RAMOS,RUA URANOS 1326,OLARIA,21060070
RJ,RIO DE JANEIRO,122,85,CIEP ERNESTO CHE GUEVARA,RUA TIMBAÚBA S/N - PEDRANGULAR,CAMPO GRANDE,23087290
RJ,RIO DE JANEIRO,122,301,ESCOLA MUNICIPAL CASIMIRO DE ABREU,ESTRADA DO MENDANHA 4842,CAMPO GRANDE,23095841
RJ,RIO DE JANEIRO,122,318,ESCOLA MUNICIPAL MANOEL SAID ALI,ESTRADA GUANDU SAPÊ S/N,CAMPO GRANDE,23090031
RJ,RIO DE JANEIRO,122,320,ESCOLA MUNICIPAL TÓQUIO,RUA ERASMO 61,CAMPO GRANDE,23095682
RJ,RIO DE JANEIRO,123,49,ESCOLA MUNICIPAL ANTENOR NASCENTES,RUA ROMEU CASAGRANDE 37,ANCHIETA,21625380
RJ,RIO DE JANEIRO,125,118,ESCOLA TÉCNICA ESTADUAL SANTA CRUZ - ETESC,LARGO DO BODEGAO 46,SANTA CRUZ,23550020
RJ,RIO DE JANEIRO,125,199,ESPAÇO DE DESENVOLVIMENTO INFANTIL PROF ROSA MARIA ALVES DE OLIVEIRA,RUA ALVARO ARAUJO SALAZAR S/N - CONJ. JOAO XXIII,SANTA CRUZ,23565000
RJ,RIO DE JANEIRO,125,208,ESPAÇO DE DESENVOLVIMENTO INFANTIL PROF ROSA MARIA ALVES DE OLIVEIRA,RUA ALVARO ARAUJO SALAZAR S/N - CONJ. JOAO XXIII,SANTA CRUZ,23565000
RJ,RIO DE JANEIRO,160,32,COLÉGIO-CURSO GEL,RUA CARDOSO DE MORAIS 528,RAMOS,21032000
RJ,RIO DE JANEIRO,160,71,ESCOLA MUNICIPAL BERLIM,PRAÇA RAMOS FIGUEIRA 20,OLARIA,21031440
RJ,RIO DE JANEIRO,161,31,ESCOLA MUNICIPAL BAHIA,RUA GUILHERME MAXWELL 243,BONSUCESSO,21040210
RJ,RIO DE JANEIRO,161,141,CIEP MINISTRO GUSTAVO CAPANEMA,VIA A1 S/N VILA DO PINHEIRO,BONSUCESSO,20000000
RJ,RIO DE JANEIRO,162,17,ESCOLA SAO PAULO,RUA TAILANDIA 160,BRÁS DE PINA,21011350
RJ,RIO DE JANEIRO,162,41,ESCOLA MINISTRO LAFAYETTE DE ANDRADA,RUA POCO CENTRAL S/N - CIDADE ALTA,CORDOVIL,21010260
RJ,RIO DE JANEIRO,162,58,ESCOLA MONTESE,RUA MAR GRANDE S/N - CIDADE ALTA,CORDOVIL,21010290
RJ,RIO DE JANEIRO,162,62,ESCOLA MINISTRO LAFAYETTE DE ANDRADA,RUA POCO CENTRAL S/N - CIDADE ALTA,CORDOVIL,21010260
RJ,RIO DE JANEIRO,162,84,IGREJA NOSSA SENHORA DA CONCEICAO,RUA IRAMAIA 87,PARADA DE LUCAS,21010050
RJ,RIO DE JANEIRO,162,104,ESCOLA GOETHE,RUA PIRICUMA 100,BRÁS DE PINA,21011330
RJ,RIO DE JANEIRO,162,107,PAROQUIA SENHOR DO BONFIM,PRACA DOM JUSTINO S/N CIDADE ALTA,CORDOVIL,21010640
RJ,RIO DE JANEIRO,163,44,CIEP PRESIDENTE TANCREDO NEVES,RUA DO CATETE 77,CATETE,22220000
RJ,RIO DE JANEIRO,164,5,ESCOLA MUNICIPAL ORLANDO VILLAS BOAS,"RUA ANDRÉ CAVALCANTE, 103 A 109",BAIRRO DE FÁTIMA,20231050
RJ,RIO DE JANEIRO,164,19,FUNDAÇÃO IBGE,RUA ANDRÉ CAVALCANTI 106,BAIRRO DE FÁTIMA,20231050
RJ,RIO DE JANEIRO,164,28,CENTRO CULTURAL LAURINDA SANTOS LOBO,RUA MONTE ALEGRE 306,SANTA TERESA,20240193
RJ,RIO DE JANEIRO,164,41,PARÓQUIA DE SANTA TERESA DE JESUS,"RUA ÁUREA, 71",SANTA TERESA,20240210
RJ,RIO DE JANEIRO,164,86,ESCOLA ANCT,RUA DOM PEDRO MASCARENHAS 73,CATUMBI,20251610
RJ,RIO DE JANEIRO,165,104,FACULDADES INTEGRADAS CÂNDIDO MENDES,RUA JOANA ANGÉLICA 63,IPANEMA,22420030
RJ,RIO DE JANEIRO,166,62,FUNDACAO GETULIO VARGAS,PRAIA DE BOTAFOGO 186,BOTAFOGO,22250040
RJ,RIO DE JANEIRO,167,2,CENTRO EDUCACIONAL NOSSA SENHORA APARECIDA,RUA FAUSTINO LINS 898,ANCHIETA,21345210
RJ,RIO DE JANEIRO,167,92,ESCOLA MUNICIPAL ZITUO YONESHIGNE,"RUA MORAIS PINHEIRO, 1.140",RICARDO DE ALBUQUERQUE,21640260
RJ,RIO DE JANEIRO,167,132,ESCOLA MUNICIPAL LEVY MIRANDA,"RUA IGUABA GRANDE, 313",PAVUNA,21655340
RJ,RIO DE JANEIRO,167,138,ESCOLA MUNICIPAL LUCIO DE MENDONCA,RUA ITAJACE 34,ANCHIETA,21645310
RJ,RIO DE JANEIRO,168,55,ESCOLA MUNICIPAL NEREU SAMPAIO,RUA NUNES VIANA S/N,INHAUMA,20765370
RJ,RIO DE JANEIRO,169,44,ESCOLA MUNICIPAL EURICO VILLELA,"RUA LAGOA CLARA, S/N",INHAUMA,21051370
RJ,RIO DE JANEIRO,169,97,ESCOLA MUNICIPAL OSWALDO CRUZ,"AV. DOS DEMOCRÁTICOS, 683",HIGIENÓPOLIS,21050435
RJ,RIO DE JANEIRO,170,110,COLÉGIO NOSSA SENHORA DA MISERICÓRDIA,RUA BARÃO DE MESQUITA 689,ANDARAÍ,20540195
RJ,RIO DE JANEIRO,170,114,COLÉGIO NOSSA SENHORA DA MISERICÓRDIA,RUA BARÃO DE MESQUITA 689,ANDARAÍ,20540195
RJ,RIO DE JANEIRO,173,1,ESCOLA MUNICIPAL PRESIDENTE JOÃO GOULART,RUA MENDES TAVARES 121,VILA ISABEL,20560050
RJ,RIO DE JANEIRO,173,6,ESCOLA MUNICIPAL PRESIDENTE JOÃO GOULART,RUA MENDES TAVARES 121,VILA ISABEL,20560050
RJ,RIO DE JANEIRO,173,36,ESCOLA MUNICIPAL DUQUE DE CAXIAS,RUA MARECHAL JOFRE 74,GRAJAÚ,20560185
RJ,RIO DE JANEIRO,175,76,CENTRO EDUCACIONAL LÚCIA LEITAO,"RUA EMBAÚ, 2254",PARQUE COLÚMBIA,21535000
RJ,RIO DE JANEIRO,176,53,ESCOLA MUNICIPAL REPUBLICA DO LIBANO,PRACA ELBA 1215,VIGÁRIO GERAL,21241170
RJ,RIO DE JANEIRO,176,97,ESCOLA MUNICIPAL JORGE DE GOUVÊA,"RUA GREGÓRIO DE MATOS, QUADRA 9, LOTE 3",VIGÁRIO GERAL,21240670
RJ,RIO DE JANEIRO,177,55,ESCOLA MUNICIPAL GRECIA,AV. BRAS DE PINA 1614,VILA DA PENHA,21235603
RJ,RIO DE JANEIRO,177,111,ESCOLA MUNICIPAL SÃO JOÃO BATISTA,"PRAÇA LAGUNA, 40",CORDOVIL,21250310
RJ,RIO DE JANEIRO,178,73,PAROQUIA SAO JOSE DOS OPERARIOS,RUA BARAO DO TRIUNFO 393,REALENGO,21735390
